id,startedAt,finishedAt,trigger,status,recordsFound,recordsNew,errorMessage,providersUsed
cmrq5kx1a000004l7zpjot80h,2026-07-18 09:17:07.774,,scheduled,running,0,0,,
cmrq5kxs0000104l7xjgm75cj,2026-07-18 09:17:08.736,2026-07-18 09:17:09.565,manual,failed,0,0,Exited with code 1,
cmrq5kyk7000004la5fmf92mr,2026-07-18 09:17:09.752,,manual,running,0,0,,
cmrq5kykz000004jqb27mvcua,2026-07-18 09:17:09.779,,manual,running,0,0,,
cmrq5kyl4000004jo4e3xhxkk,2026-07-18 09:17:09.784,,manual,running,0,0,,
cmrq5kyl8000004jyff9mmf0u,2026-07-18 09:17:09.788,,manual,running,0,0,,
cmrq5kym6000004l4dzbkyi77,2026-07-18 09:17:09.822,,manual,running,0,0,,
cmrq5kyn8000004jut7hwlicy,2026-07-18 09:17:09.86,,manual,running,0,0,,
cmrq5kynd000004jxarlbxz2n,2026-07-18 09:17:09.865,,manual,running,0,0,,
cmrq5kynk000004kyetyr3ryz,2026-07-18 09:17:09.872,,manual,running,0,0,,
cmrq5kyob000004l78sb2ny29,2026-07-18 09:17:09.9,,manual,running,0,0,,
cmrq5kyrt000004l22eg1syox,2026-07-18 09:17:10.025,,manual,running,0,0,,
cmrq5kyw5000204l7ao00npmy,2026-07-18 09:17:10.181,,scheduled,running,0,0,,
cmrq5mn7q000104k29iyq64dn,2026-07-18 09:18:28.358,,scheduled,running,0,0,,
cmrq5mnj2000204l2jr5if3mk,2026-07-18 09:18:28.766,,manual,running,0,0,,
cmrq5mnj4000304l256jsnlz8,2026-07-18 09:18:28.768,,manual,running,0,0,,
cmrq5mnj3000104ju4ivdpxvz,2026-07-18 09:18:28.767,,manual,running,0,0,,
cmrq5mnj6000404l2m2jfzn74,2026-07-18 09:18:28.77,,manual,running,0,0,,
cmrq5mnjg000204kyjvpq19oe,2026-07-18 09:18:28.78,,manual,running,0,0,,
cmrq5mnjr000204l7v3j94uwu,2026-07-18 09:18:28.791,,manual,running,0,0,,
cmrq5mnjs000104jxzrlfswbk,2026-07-18 09:18:28.792,,manual,running,0,0,,
cmrq5kym2000004k2k9sslx2l,2026-07-18 09:17:09.818,2026-07-18 09:18:30.152,manual,failed,0,0,Exited with code 1,
cmrq5mnfc000204k2wspi4k1p,2026-07-18 09:18:28.632,2026-07-18 09:18:30.66,manual,failed,0,0,Exited with code 1,
cmrq5mnjb000304k2dv5qam6q,2026-07-18 09:18:28.775,2026-07-18 09:18:30.743,manual,failed,0,0,Exited with code 1,
cmrq5mnkh000104jqjgljsdy4,2026-07-18 09:18:28.817,,manual,running,0,0,,
cmrq5mnpv000404k2a9mbnu5h,2026-07-18 09:18:29.011,,scheduled,running,0,0,,
cmrq5t9rj000004kwpfvxer1l,2026-07-18 09:23:37.519,,scheduled,running,0,0,,
cmrq5taec000104kwtuqnwsvt,2026-07-18 09:23:38.34,,manual,running,0,0,,
cmrq5tb2o000004jued1s32vy,2026-07-18 09:23:39.216,,manual,running,0,0,,
cmrq5tb3n000004glyhodiqfb,2026-07-18 09:23:39.251,,manual,running,0,0,,
cmrq5tb3t000004jrysgbvpuk,2026-07-18 09:23:39.257,,manual,running,0,0,,
cmrq5tb42000004l7rgshizyt,2026-07-18 09:23:39.266,,manual,running,0,0,,
cmrq5tb41000004la1teyn6dn,2026-07-18 09:23:39.266,,manual,running,0,0,,
cmrq5tb48000004l7o4bgp79g,2026-07-18 09:23:39.272,,manual,running,0,0,,
cmrq5tb4b000004l8pmvktzwl,2026-07-18 09:23:39.275,,manual,running,0,0,,
cmrq5tb4e000004jvay5buk88,2026-07-18 09:23:39.278,,manual,running,0,0,,
cmrq5tb4n000004jljpxux1y6,2026-07-18 09:23:39.287,,manual,running,0,0,,
cmrq5tb4s000004l14jr8u893,2026-07-18 09:23:39.292,,manual,running,0,0,,
cmrq5tb54000004jm5hyyys9x,2026-07-18 09:23:39.304,,manual,running,0,0,,
50d3f5bc-bb86-472b-8922-b9f30a81e8c1,2026-07-18 09:47:12.513,,manual,running,0,0,,
cmrrhuh5n000104ic5klu8rhf,2026-07-19 07:48:15.323,,manual,running,0,0,,
cmrrhuk52000304ich5dznnqk,2026-07-19 07:48:19.19,,manual,running,0,0,,
cmrrhum3e000504icg8qxs5sy,2026-07-19 07:48:21.722,,manual,running,0,0,,
cmrrhun5h000704ich5l98208,2026-07-19 07:48:23.093,,manual,running,0,0,,
cmrrhuo9z000904ic0kpwbyij,2026-07-19 07:48:24.551,,manual,running,0,0,,
cmrrhupbp000b04icb6j82r6k,2026-07-19 07:48:25.91,,manual,running,0,0,,
cmrrhuqv2000c04ice9zuf8e8,2026-07-19 07:48:27.902,,manual,running,0,0,,
cmrrhuru8000e04ic0rpovlkt,2026-07-19 07:48:29.168,,manual,running,0,0,,
cmrrhusr1000g04icld7c10g2,2026-07-19 07:48:30.349,,manual,running,0,0,,
cmrrhutts000h04iclj4z25lk,2026-07-19 07:48:31.744,,manual,running,0,0,,
